ref_key	running_id	citation	type	authors	year	title	links	sec	data_type	data_subtype	pattern_type	pattern_subtype	alg_name	algorithm	encoding	notes	mentions	html_ref	bib_string	flnk
lucchese_generative_2010	106	Lucchese, Orlando, and Perego (2010a)	inproceedings	Claudio Lucchese, Salvatore Orlando, and Raffaele Perego	2010	A generative pattern model for mining binary datasets	<a href='https://doi.org/10.1145/1774088.1774320'>doi:10.1145/1774088.1774320</a>	5.4	tabular	binary	block	Boolean-matrix-factors	<alg>GPM</alg>			 <task>Boolean Matrix Factorisation (BMF)</task>. Conference version, extended to <rkey>lucchese_generative_2010</rkey>.	p.23:5.4,p.22,p.23	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Lucchese, Claudio, Salvatore Orlando, and Raffaele Perego</span> (<span class='bib-block bib-when'>2010</span>a)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>A generative pattern model for mining binary datasets.</span>
In <em>Proceedings of the 2010 <span class='bibtex-protected'>ACM</span> Symposium on Applied Computing, <span class='bibtex-protected'>SAC</span>'10</em>, 1109–1110. \pubACM .
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1145/1774088.1774320'>doi:10.1145/1774088.1774320</a>.</span></span>"	"@inproceedings{lucchese_generative_2010,
    author = {Lucchese, Claudio and Orlando, Salvatore and Perego, Raffaele},
    title = {A generative pattern model for mining binary datasets},
    doi = {10.1145/1774088.1774320},
    pages = {1109--1110},
    booktitle = {Proceedings of the 2010 {ACM} Symposium on Applied Computing, {SAC}'10},
    publisher = {\pubACM},
    year = {2010}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/LuccheseOP10b.pdf", "pdf")
lucchese_mining_2010	107	Lucchese, Orlando, and Perego (2010b)	incollection	Claudio Lucchese, Salvatore Orlando, and Raffaele Perego	2010	Mining top-k patterns from binary datasets in presence of noise	<a href='https://doi.org/10.1137/1.9781611972801.15'>doi:10.1137/1.9781611972801.15</a>	5.4	tabular	binary	block	Boolean-matrix-factors	<alg>PaNDa</alg> ‘Patterns in Noisy Datasets’			 <task>Boolean Matrix Factorisation (BMF)</task>. Conference version, extended to <rkey>lucchese_generative_2010</rkey>.	p.23:5.4,p.22,p.23	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Lucchese, Claudio, Salvatore Orlando, and Raffaele Perego</span> (<span class='bib-block bib-when'>2010</span>b)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Mining top-k patterns from binary datasets in presence of noise.</span>
In <em>Proceedings of the 2007 <span class='bibtex-protected'>SIAM</span> International Conference on Data Mining, <span class='bibtex-protected'>SDM</span>'07</em>, pages 165–176.
\pubSIAM .
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1137/1.9781611972801.15'>doi:10.1137/1.9781611972801.15</a>.</span></span>"	"@incollection{lucchese_mining_2010,
    author = {Lucchese, Claudio and Orlando, Salvatore and Perego, Raffaele},
    title = {Mining Top-K Patterns from Binary Datasets in presence of Noise},
    pages = {165--176},
    booktitle = {Proceedings of the 2007 {SIAM} International Conference on Data Mining, {SDM}'07},
    publisher = {\pubSIAM},
    year = {2010},
    doi = {10.1137/1.9781611972801.15}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/LuccheseOP10.pdf", "pdf")
miettinen_model_2011	125	Miettinen and Vreeken (2011)	inproceedings	Pauli Miettinen and Jilles Vreeken	2011	Model order selection for boolean matrix factorization	<a href='https://doi.org/10.1145/2020408.2020424'>doi:10.1145/2020408.2020424</a>	5.4	tabular	binary	block	Boolean-matrix-factors				 <task>Boolean Matrix Factorisation (BMF)</task>. Conference version, extended to <rkey>miettinen_mdl4bmf_2014</rkey>.	p.23:5.4,p.22,p.23	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Miettinen, Pauli and Jilles Vreeken</span> (<span class='bib-block bib-when'>2011</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Model order selection for boolean matrix factorization.</span>
In <em>Proceedings of the 17th <span class='bibtex-protected'>ACM</span> <span class='bibtex-protected'>SIGKDD</span> international conference on Knowledge discovery and data mining, <span class='bibtex-protected'>KDD</span>'11</em>, 51–59. <span class='bibtex-protected'>ACM</span>.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1145/2020408.2020424'>doi:10.1145/2020408.2020424</a>.</span></span>"	"@inproceedings{miettinen_model_2011,
    author = {Miettinen, Pauli and Vreeken, Jilles},
    title = {Model order selection for boolean matrix factorization},
    doi = {10.1145/2020408.2020424},
    pages = {51--59},
    booktitle = {Proceedings of the 17th {ACM} {SIGKDD} international conference on Knowledge discovery and data mining, {KDD}'11},
    publisher = {{ACM}},
    year = {2011}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/MiettinenV11.pdf", "pdf")
lucchese_unifying_2014	108	Lucchese, Orlando, and Perego (2014)	article	Claudio Lucchese, Salvatore Orlando, and Raffaele Perego	2014	A unifying framework for mining approximate top-$k$ binary patterns	<a href='https://doi.org/10.1109/TKDE.2013.181'>doi:10.1109/TKDE.2013.181</a>	5.4	tabular	binary	block	Boolean-matrix-factors	<alg>PaNDa+</alg> ‘Patterns in Noisy Datasets’			Comparing factors of a fixed size. <task>Boolean Matrix Factorisation (BMF)</task>. Journal version, extending <rkey>lucchese_generative_2010</rkey> and <rkey>lucchese_mining_2010</rkey>. Building on <alg>PaNDa</alg>.	p.23:5.4,p.22,p.23	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Lucchese, Claudio, Salvatore Orlando, and Raffaele Perego</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>A unifying framework for mining approximate top-$k$ binary patterns.</span>
<em><span class='bibtex-protected'>IEEE</span> Transactions on Knowledge and Data Engineering</em>, 26(12):2900–2913.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1109/TKDE.2013.181'>doi:10.1109/TKDE.2013.181</a>.</span></span>"	"@article{lucchese_unifying_2014,
    author = {Lucchese, Claudio and Orlando, Salvatore and Perego, Raffaele},
    title = {A Unifying Framework for Mining Approximate Top-$k$ Binary Patterns},
    volume = {26},
    doi = {10.1109/TKDE.2013.181},
    pages = {2900--2913},
    number = {12},
    journal = {{IEEE} Transactions on Knowledge and Data Engineering},
    year = {2014},
    publisher = {\pubIEEE}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/LuccheseOP14.pdf", "pdf")
miettinen_mdl4bmf_2014	126	Miettinen and Vreeken (2014)	article	Pauli Miettinen and Jilles Vreeken	2014	MDL4BMF: minimum description length for boolean matrix factorization	<a href='https://doi.org/10.1145/2601437'>doi:10.1145/2601437</a>	5.4	tabular	binary	block	Boolean-matrix-factors			Shannon-Fano, universal code for integers, indices over canonically ordered enumerations	 Determining the proper rank in <task>Boolean Matrix Factorisation (BMF)</task>.  Using a MDL score to determine the number of blocks. Journal version, extending <rkey>miettinen_model_2011</rkey>.	p.23:5.4,p.22,p.23	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Miettinen, Pauli and Jilles Vreeken</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'><span class='bibtex-protected'>MDL</span>4<span class='bibtex-protected'>BMF</span>: minimum description length for boolean matrix factorization.</span>
<em><span class='bibtex-protected'>ACM</span> Transactions on Knowledge Discovery from Data</em>, 8(4):18:1–18:31.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1145/2601437'>doi:10.1145/2601437</a>.</span></span>"	"@article{miettinen_mdl4bmf_2014,
    author = {Miettinen, Pauli and Vreeken, Jilles},
    title = {{MDL}4{BMF}: Minimum Description Length for Boolean Matrix Factorization},
    volume = {8},
    doi = {10.1145/2601437},
    pages = {18:1--18:31},
    number = {4},
    journal = {{ACM} Transactions on Knowledge Discovery from Data},
    publisher = {{ACM}},
    year = {2014}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/MiettinenV14.pdf", "pdf")
hess_primping_2017	69	Hess, Morik, and Piatkowski (2017)	article	Sibylle Hess, Katharina Morik, and Nico Piatkowski	2017	The PRIMPING routine – tiling through proximal alternating linearized minimization	<a href='https://doi.org/10.1007/s10618-017-0508-z'>doi:10.1007/s10618-017-0508-z</a>	5.4	tabular	binary	block	Boolean-matrix-factors	<alg>Primp</alg>, <alg>Panpal</alg>			<task>Boolean Matrix Factorisation (BMF)</task> as numerical optimisation of a MDL cost. <alg>Primp</alg> uses code-tables like <alg>Krimp</alg>.	p.23:5.4,p.22,p.23	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Hess, Sibylle, Katharina Morik, and Nico Piatkowski</span> (<span class='bib-block bib-when'>2017</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>The <span class='bibtex-protected'>PRIMPING</span> routine – tiling through proximal alternating linearized minimization.</span>
<em>Data Mining and Knowledge Discovery</em>, 31(4):1090–1131.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/s10618-017-0508-z'>doi:10.1007/s10618-017-0508-z</a>.</span></span>"	"@article{hess_primping_2017,
    author = {Hess, Sibylle and Morik, Katharina and Piatkowski, Nico},
    title = {The {PRIMPING} routine -- Tiling through proximal alternating linearized minimization},
    volume = {31},
    doi = {10.1007/s10618-017-0508-z},
    pages = {1090--1131},
    number = {4},
    journal = {Data Mining and Knowledge Discovery},
    year = {2017}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/HessMP17.pdf", "pdf")
makhalova_from-below_2019	117	Makhalova and Trnecka (2019)	arxiv	Tatiana Makhalova and Martin Trnecka	2019	From-below boolean matrix factorization algorithm based on MDL	<a href='https://arxiv.org/abs/1901.09567'>arXiv:1901.09567</a>	5.4	tabular	binary	block	Boolean-matrix-factors				ArXiv version of <rkey>makhalova_from-below_2021</rkey>.	p.23:5.4,p.22,p.23	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Makhalova, Tatiana and Martin Trnecka</span> (<span class='bib-block bib-when'>2019</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>From-below boolean matrix factorization algorithm based on <span class='bibtex-protected'>MDL</span>.</span>
<span class='bib-block bib-lnks'><a href='https://arxiv.org/abs/1901.09567'>arXiv:1901.09567</a>.</span></span>"	"@misc{makhalova_from-below_2019,
    author = {Makhalova, Tatiana and Trnecka, Martin},
    title = {From-Below Boolean Matrix Factorization Algorithm Based on {MDL}},
    year = {2019},
    eprinttype = {arxiv},
    eprint = {1901.09567}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/MakhalovaT19.pdf", "pdf")
makhalova_from-below_2021	118	Makhalova and Trnecka (2021)	article	Tatiana Makhalova and Martin Trnecka	2021	From-below boolean matrix factorization algorithm based on MDL	<a href='https://doi.org/10.1007/s11634-019-00383-6'>doi:10.1007/s11634-019-00383-6</a>	5.4	tabular	binary	block	Boolean-matrix-factors	<alg>MDLGreConD</alg> ‘Greedy Concept on Demand’			'From-below’ <task>Boolean Matrix Factorisation (BMF)</task>. Building on <alg>GreConD</alg> (Belohlavek and Vychodil, 2010). Journal version of <rkey>makhalova_from-below_2019</rkey>.	p.23:5.4,p.22,p.23	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Makhalova, Tatiana and Martin Trnecka</span> (<span class='bib-block bib-when'>2021</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>From-below boolean matrix factorization algorithm based on <span class='bibtex-protected'>MDL</span>.</span>
<em>Advances in Data Analysis and Classification</em>, 15(1):37–56.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/s11634-019-00383-6'>doi:10.1007/s11634-019-00383-6</a>.</span></span>"	"@article{makhalova_from-below_2021,
    author = {Makhalova, Tatiana and Trnecka, Martin},
    title = {From-below Boolean matrix factorization algorithm based on {MDL}},
    volume = {15},
    doi = {10.1007/s11634-019-00383-6},
    pages = {37--56},
    number = {1},
    journal = {Advances in Data Analysis and Classification},
    year = {2021}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/MakhalovaT21.pdf", "pdf")
mampaey_summarizing_2013	120	Mampaey and Vreeken (2013)	article	Michael Mampaey and Jilles Vreeken	2013	Summarizing categorical data by clustering attributes	<a href='https://doi.org/10.1007/s10618-011-0246-6'>doi:10.1007/s10618-011-0246-6</a>	5.5	tabular	categorical	substructure	itemsets		Bottom-up hierarchical clustering, iteratively merging candidates.	Shannon-Fano, indices over canonically ordered enumerations, prequential	Clustering correlated attributes in categorical data.	p.24:5.5,p.23,p.24	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Mampaey, Michael and Jilles Vreeken</span> (<span class='bib-block bib-when'>2013</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Summarizing categorical data by clustering attributes.</span>
<em>Data Mining and Knowledge Discovery</em>, 26(1):130–173.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/s10618-011-0246-6'>doi:10.1007/s10618-011-0246-6</a>.</span></span>"	"@article{mampaey_summarizing_2013,
    author = {Mampaey, Michael and Vreeken, Jilles},
    title = {Summarizing categorical data by clustering attributes},
    volume = {26},
    doi = {10.1007/s10618-011-0246-6},
    pages = {130--173},
    number = {1},
    journal = {Data Mining and Knowledge Discovery},
    year = {2013}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/MampaeyV13.pdf", "pdf")
he_relevant_2014	64	He et al. (2014)	inproceedings	Xiao He, Jing Feng, Bettina Konte, Son T. Mai, and Claudia Plant	2014	Relevant overlapping subspace clusters on categorical data	<a href='https://doi.org/10.1145/2623330.2623652'>doi:10.1145/2623330.2623652</a>	5.5	tabular	categorical	block	biclusters	<alg>ROCAT</alg> ‘Relevant Overlapping Subspace clusters on CATegorical data’		Shannon-Fano	Subspace clustering of categorical data.	p.24:5.5,p.24	"<span class='bib-block bib-label'><span class='bib-block bib-who'>He, Xiao, Jing Feng, Bettina Konte, et al.</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Relevant overlapping subspace clusters on categorical data.</span>
In <em>Proceedings of the 20th <span class='bibtex-protected'>ACM</span> <span class='bibtex-protected'>SIGKDD</span> international conference on Knowledge discovery and data mining, <span class='bibtex-protected'>KDD</span>'14</em>, 213–222. <span class='bibtex-protected'>ACM</span>.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1145/2623330.2623652'>doi:10.1145/2623330.2623652</a>.</span></span>"	"@inproceedings{he_relevant_2014,
    author = {He, Xiao and Feng, Jing and Konte, Bettina and Mai, Son T. and Plant, Claudia},
    title = {Relevant overlapping subspace clusters on categorical data},
    doi = {10.1145/2623330.2623652},
    pages = {213--222},
    booktitle = {Proceedings of the 20th {ACM} {SIGKDD} international conference on Knowledge discovery and data mining, {KDD}'14},
    publisher = {{ACM}},
    year = {2014}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/HeFKMP14.pdf", "pdf")
lakshmanan_generalized_2002	94	Lakshmanan et al. (2002)	inproceedings	Laks V. S. Lakshmanan, Raymond T. Ng, Christine Xing Wang, Xiaodong Zhou, and Theodore J. Johnson	2002	The generalized MDL approach for summarization		5.6	tabular	numerical	block	tiles, hyperrectangles	<alg>CAS-Corner</alg>, <alg>BP</alg>		fixed-length	<task>Mining OLAP data</task> as a problem of covering multidimensional ternary data with hyperrectangles. 	p.24:5.6,p.24	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Lakshmanan, Laks V.&nbsp;S. et al.</span> (<span class='bib-block bib-when'>2002</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>The generalized <span class='bibtex-protected'>MDL</span> approach for summarization.</span>
In <em>Proceedings of the 28th international conference on Very Large Data Bases, <span class='bibtex-protected'>VLDB</span>'02</em>, 766–777. <span class='bibtex-protected'>VLDB</span> Endowment.</span>"	"@inproceedings{lakshmanan_generalized_2002,
    author = {Lakshmanan, Laks V. S. and Ng, Raymond T. and Wang, Christine Xing and Zhou, Xiaodong and Johnson, Theodore J.},
    title = {The generalized {MDL} approach for summarization},
    pages = {766--777},
    booktitle = {Proceedings of the 28th international conference on Very Large Data Bases, {VLDB}'02},
    publisher = {{VLDB} Endowment},
    year = {2002}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/LakshmananNXZJ02.pdf", "pdf")
kontkanen_mdl_2007	89	Kontkanen and Myllymäki (2007)	inproceedings	Petri Kontkanen and Petri Myllymäki	2007	MDL histogram density estimation		5.6	tabular	numerical	block	histograms			refined MDL, normalised maximum likelihood (NML)	Finding optimal bin edges for discretizing numerical data, i.e. <task>histogram density estimation</task>. <task>Data discretisation</task>.	p.24:5.6,p.24,p.39	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Kontkanen, Petri and Petri Myllym<span class='bibtex-protected'>ä</span>ki</span> (<span class='bib-block bib-when'>2007</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'><span class='bibtex-protected'>MDL</span> histogram density estimation.</span>
In <em>Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, <span class='bibtex-protected'>AISTATS</span>'07</em>, 219–226.</span>"	"@inproceedings{kontkanen_mdl_2007,
    author = {Kontkanen, Petri and Myllym\'{a}ki, Petri},
    title = {{MDL} Histogram Density Estimation},
    pages = {219--226},
    booktitle = {Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, {AISTATS}'07},
    year = {2007}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/KontkanenM07.pdf", "pdf")
kameya_time_2011	78	Kameya (2011)	inproceedings	Yoshitaka Kameya	2011	Time series discretization via MDL-based histogram density estimation	<a href='https://doi.org/10.1109/ICTAI.2011.115'>doi:10.1109/ICTAI.2011.115</a>	5.6	tabular	numerical	block	histograms				Applying the approach of <rkey>kontkanen_mdl_2007</rkey> to discretise time-series represented as time—measurement pairs. <task>Data discretisation</task>.	p.24:5.6,p.24	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Kameya, Yoshitaka</span> (<span class='bib-block bib-when'>2011</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Time series discretization via <span class='bibtex-protected'>MDL</span>-based histogram density estimation.</span>
In <em>Proceedings of the 23rd <span class='bibtex-protected'>IEEE</span> International Conference on Tools with Artificial Intelligence, <span class='bibtex-protected'>ICTAI</span>'11</em>, 732–739. \pubIEEE .
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1109/ICTAI.2011.115'>doi:10.1109/ICTAI.2011.115</a>.</span></span>"	"@inproceedings{kameya_time_2011,
    author = {Kameya, Yoshitaka},
    title = {Time Series Discretization via {MDL}-Based Histogram Density Estimation},
    doi = {10.1109/ICTAI.2011.115},
    pages = {732--739},
    booktitle = {Proceedings of the 23rd {IEEE} International Conference on Tools with Artificial Intelligence, {ICTAI}'11},
    publisher = {\pubIEEE},
    year = {2011}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/Kameya11.pdf", "pdf")
nguyen_unsupervised_2014	129	Nguyen, Müller, Vreeken, and Böhm (2014)	article	Hoang-Vu Nguyen, Emmanuel Müller, Jilles Vreeken, and Klemens Böhm	2014	Unsupervised interaction-preserving discretization of multivariate data	<a href='https://doi.org/10.1007/s10618-014-0350-5'>doi:10.1007/s10618-014-0350-5</a>	5.6	tabular	numerical	block	histograms	<alg>IPD</alg> ‘Interaction-Preserving Discretization’			Finding a discretisation of multivariate numerical data that preserves the interactions between variables. <task>Data discretisation</task>.	p.24:5.6,p.24	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Nguyen, Hoang-Vu et al.</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Unsupervised interaction-preserving discretization of multivariate data.</span>
<em>Data Mining and Knowledge Discovery</em>, 28(5):1366–1397.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/s10618-014-0350-5'>doi:10.1007/s10618-014-0350-5</a>.</span></span>"	"@article{nguyen_unsupervised_2014,
    author = {Nguyen, Hoang-Vu and M\'{u}ller, Emmanuel and Vreeken, Jilles and B\'{o}hm, Klemens},
    title = {Unsupervised interaction-preserving discretization of multivariate data},
    volume = {28},
    doi = {10.1007/s10618-014-0350-5},
    pages = {1366--1397},
    number = {5},
    journal = {Data Mining and Knowledge Discovery},
    year = {2014}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/NguyenNVB14.pdf", "pdf")
witteveen_realkrimp_2014	187	Witteveen, Duivesteijn, Knobbe, and Grünwald (2014)	inproceedings	Jouke Witteveen, Wouter Duivesteijn, Arno Knobbe, and Peter D. Grünwald	2014	RealKrimp – finding hyperintervals that compress with MDL for real-valued data	<a href='https://doi.org/10.1007/978-3-319-12571-8_32'>doi:10.1007/978-3-319-12571-8_32</a>	5.6	tabular	numerical	block	tiles, hyperrectangles	<alg>RealKrimp</alg>			Finding especially dense hyperintervals (hyperrectangles) in multivariate numerical data. Extending the Kraft inequality to numerical data. <task>Data discretisation</task>.	p.24:5.6,p.24	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Witteveen, Jouke et al.</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'><span class='bibtex-protected'>RealKrimp</span> – finding hyperintervals that compress with <span class='bibtex-protected'>MDL</span> for real-valued data.</span>
In <em>Proceedings of the 13th International Symposium on Advances in Intelligent Data Analysis, <span class='bibtex-protected'>IDA</span>'14</em>, 368–379. Springer.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/978-3-319-12571-8_32'>doi:10.1007/978-3-319-12571-8_32</a>.</span></span>"	"@inproceedings{witteveen_realkrimp_2014,
    author = {Witteveen, Jouke and Duivesteijn, Wouter and Knobbe, Arno and Gr\'{u}nwald, Peter D.},
    title = {{RealKrimp} -- Finding Hyperintervals that Compress with {MDL} for Real-Valued Data},
    doi = {10.1007/978-3-319-12571-8_32},
    pages = {368--379},
    booktitle = {Proceedings of the 13th International Symposium on Advances in Intelligent Data Analysis, {IDA}'14},
    publisher = {Springer},
    year = {2014}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/WitteveenDKG14.pdf", "pdf")
makhalova_numerical_2019	112	Makhalova, Kuznetsov, and Napoli (2019a)	inproceedings	Tatiana Makhalova, Sergei O. Kuznetsov, and Amedeo Napoli	2019	Numerical pattern mining through compression	<a href='https://doi.org/10.1109/DCC.2019.00019'>doi:10.1109/DCC.2019.00019</a>	5.6	tabular	numerical	block	tiles, hyperrectangles				Finding hyperintervals (hyperrectangles) in multivariate numerical data. <task>Data discretisation</task>.	p.24:5.6,p.24,p.40	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Makhalova, Tatiana, Sergei&nbsp;O. Kuznetsov, and Amedeo Napoli</span> (<span class='bib-block bib-when'>2019</span>a)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Numerical pattern mining through compression.</span>
In <em>Proceedings of the Data Compression Conference, <span class='bibtex-protected'>DCC</span>'19</em>, 112–121.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1109/DCC.2019.00019'>doi:10.1109/DCC.2019.00019</a>.</span></span>"	"@inproceedings{makhalova_numerical_2019,
    author = {Makhalova, Tatiana and Kuznetsov, Sergei O. and Napoli, Amedeo},
    title = {Numerical Pattern Mining Through Compression},
    doi = {10.1109/DCC.2019.00019},
    pages = {112--121},
    booktitle = {Proceedings of the Data Compression Conference, {DCC}'19},
    year = {2019}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/MakhalovaKN19.pdf", "pdf")
makhalova_mint_2020	114	Makhalova, Kuznetsov, and Napoli (2020)	arxiv	Tatiana Makhalova, Sergei O. Kuznetsov, and Amedeo Napoli	2020	Mint: MDL-based approach for mining INTeresting numerical pattern sets	<a href='https://arxiv.org/abs/2011.14843'>arXiv:2011.14843</a>	5.6	tabular	numerical	block	tiles, hyperrectangles				ArXiv version of <rkey>makhalova_mint_2022</rkey>.	p.24:5.6,p.24,p.39	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Makhalova, Tatiana, Sergei&nbsp;O. Kuznetsov, and Amedeo Napoli</span> (<span class='bib-block bib-when'>2020</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Mint: <span class='bibtex-protected'>MDL</span>-based approach for mining <span class='bibtex-protected'>INTeresting</span> numerical pattern sets.</span>
<span class='bib-block bib-lnks'><a href='https://arxiv.org/abs/2011.14843'>arXiv:2011.14843</a>.</span></span>"	"@misc{makhalova_mint_2020,
    author = {Makhalova, Tatiana and Kuznetsov, Sergei O. and Napoli, Amedeo},
    title = {Mint: {MDL}-based approach for Mining {INTeresting} Numerical Pattern Sets},
    eprint = {2011.14843},
    eprinttype = {arxiv},
    year = {2020}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/MakhalovaKN20.pdf", "pdf")
yang_unsupervised_2020	190	Yang, Baratchi, and van Leeuwen (2020)	arxiv	Lincen Yang, Mitra Baratchi, and Matthijs van Leeuwen	2020	Unsupervised discretization by two-dimensional MDL-based histogram	<a href='https://arxiv.org/abs/2006.01893'>arXiv:2006.01893</a>	5.6	tabular	numerical	block	histograms				Extending the approach of <rkey>kontkanen_mdl_2007</rkey> to two-dimensional data. <task>Data discretisation</task>.	p.24:5.6,p.24	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Yang, Lincen, Mitra Baratchi, and Matthijs <span class='bibtex-protected'>van Leeuwen</span></span> (<span class='bib-block bib-when'>2020</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Unsupervised discretization by two-dimensional <span class='bibtex-protected'>MDL</span>-based histogram.</span>
<span class='bib-block bib-lnks'><a href='https://arxiv.org/abs/2006.01893'>arXiv:2006.01893</a>.</span></span>"	"@misc{yang_unsupervised_2020,
    author = {Yang, Lincen and Baratchi, Mitra and {van Leeuwen}, Matthijs},
    title = {Unsupervised Discretization by Two-dimensional {MDL}-based Histogram},
    year = {2020},
    eprinttype = {arxiv},
    eprint = {2006.01893}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/YangBvL20.pdf", "pdf")
